trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.2, 'e': 0.26749882862458735}",20,11,5.910647644788348,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.2481754516523729}",20,0,-63.61768150739097,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
68,False,"{'a': 0.2, 'e': 0.22875280780845939}",20,4,-26.001313019291217,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.2, 'e': 0.20923866589141926}",20,4,2.2311178614896114,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.18964083129783424}",20,14,10.945629191913664,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.16996714290024081}",30,13,6.279231094954222,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.15022546991168584}",20,0,17.838427202955682,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.13042370873814554}",20,8,20.359566818521444,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.11056977982006959}",35,15,6.884896046137308,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.09067162446430968}",25,3,5.453693794687943,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.0707372016677029}",35,21,23.02140675597063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.05077448493357918}",20,9,17.658358822919084,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.03079145908246612}",25,13,19.952847912669693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.010796117058267392}",25,15,22.862711896519883,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': -0.009203543268808336}",20,0,32.04916454833364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,39.39154114654371,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,7,31.058876033848218,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,21.237372690145385,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,18,11.01202634224132,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,20.543411405029914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,25.116913626105646,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,19.81407228978966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,23.158599258203946,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,11,3.4788391197427,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,16.49659811014751,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
